,Алгоритм,Размер до,Размер после,Отношение сжатия,Процент сжатия,Время сжатия,Время распаковки,Кол-во запусков функций
0,RLE,134746.0,125506.0,0.93,6.99,0.0153,0.0004,1
1,Huffman,134746.0,94945.0,0.708,29.22,0.0253,0.0003,1
2,LZMA,134746.0,64883.0,0.471,52.89,0.1123,0.0145,1
3,DEFLATE,134746.0,82861.0,0.603,39.73,0.0126,0.0016,1
