,Алгоритм,Размер до,Размер после,Отношение сжатия,Процент сжатия,Время сжатия,Время распаковки,Кол-во запусков функций
0,RLE,472175.0,474017.0,0.964,3.63,0.0632,0.0018,1
1,Huffman,472175.0,470272.0,0.944,5.65,0.0984,0.0019,1
2,LZMA,472175.0,446997.0,0.895,10.47,0.3155,0.0541,1
3,DEFLATE,472175.0,451307.0,0.863,13.65,0.0375,0.0062,1
