,Алгоритм,Размер до,Размер после,Отношение сжатия,Процент сжатия,Время сжатия,Время распаковки,Кол-во запусков функций
0,RLE,258625.0,254276.0,0.872,12.75,0.0438,0.0011,1
1,Huffman,258625.0,251045.0,0.766,23.44,0.0526,0.0011,1
2,LZMA,258625.0,217634.0,0.516,48.42,0.1891,0.0091,1
3,DEFLATE,258625.0,221606.0,0.54,45.99,0.016,0.0027,1
